# y_star x_star
734 647
734 642
824 587
823 585
731 645
732 640
822 572
821 583
732 643
731 633
822 570
820 580
730 641
730 629
821 571
820 579
729 639
728 633
820 571
819 577
728 637
728 623
819 575
818 575
727 635
727 626
819 570
817 573
726 632
727 623
817 559
816 570
725 631
725 624
815 565
814 569
723 629
722 624
814 567
812 567
720 627
720 620
810 560
809 565
719 624
718 614
809 560
808 565
726 625
716 617
806 550
804 565
714 624
803 551
802 563
711 623
710 607
800 555
799 560
726 618
708 610
800 551
798 560
707 618
707 607
797 541
796 556
705 616
705 605
795 546
794 554
704 613
705 605
793 546
793 553
726 611
703 605
792 543
790 554
701 612
