# y_star x_star theta
342.000 335.000 -0.485
342.000 671.000 -0.255
341.000 1007.000 -0.319
341.000 1342.000 -0.279
340.000 1679.000 -0.075
676.000 333.000 -0.480
676.000 686.000 -0.281
675.000 1006.000 -0.303
675.000 1342.000 -0.321
675.000 1677.000 -0.146
1011.000 331.000 -0.415
1011.000 669.000 -0.274
1010.000 1006.000 -0.306
1010.000 1342.000 -0.290
1010.000 1678.000 -0.161
1349.000 332.000 -0.385
1348.000 668.000 -0.284
1348.000 1004.000 -0.288
1348.000 1339.000 -0.289
1347.000 1677.000 -0.141
1684.000 330.000 -0.380
1683.000 668.000 -0.302
1683.000 1004.000 -0.312
1683.000 1341.000 -0.276
1683.000 1675.000 -0.237
