# y_star x_star theta
330.000 409.000 -0.533
330.000 745.000 -0.443
329.000 1082.000 -0.364
330.000 1417.000 -0.372
330.000 1756.000 -0.301
663.000 411.000 -0.439
662.000 747.000 -0.442
661.000 1097.000 -0.413
661.000 1420.000 -0.409
662.000 1756.000 -0.362
995.000 411.000 -0.533
995.000 748.000 -0.441
994.000 1084.000 -0.480
994.000 1419.000 -0.482
994.000 1755.000 -0.539
1332.000 411.000 -0.447
1331.000 747.000 -0.445
1330.000 1099.000 -0.519
1330.000 1420.000 -0.521
1330.000 1756.000 -0.586
1666.000 411.000 -0.413
1665.000 748.000 -0.456
1666.000 1081.000 -0.554
1666.000 1419.000 -0.541
1665.000 1753.000 -0.624
