# y_star x_star theta
337.000 327.000 -0.651
335.000 663.000 -0.617
335.000 998.000 -0.639
335.000 1335.000 -0.664
334.000 1672.000 -0.584
672.000 324.000 -0.635
671.000 662.000 -0.587
671.000 999.000 -0.626
671.000 1343.000 -0.633
670.000 1669.000 -0.544
1008.000 324.000 -0.604
1007.000 660.000 -0.584
1007.000 996.000 -0.555
1006.000 1333.000 -0.575
1006.000 1668.000 -0.574
1346.000 322.000 -0.607
1345.000 656.000 -0.543
1345.000 993.000 -0.589
1345.000 1328.000 -0.578
1345.000 1665.000 -0.604
1682.000 318.000 -0.621
1682.000 654.000 -0.592
1681.000 989.000 -0.523
1679.000 1326.000 -0.522
1681.000 1663.000 -0.626
